# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Sep 26 02:02:47 UTC 2025
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.00000 0.8025270104 2.4196049879    0.802 -0.553  3.6952  4.629    0 6.153 8.301 7.422 6.469 5.859 5.412 4.782 4.269 4.196
0.0152 0.01508 9.00000 0.8500000238 2.4350346840    0.850 -0.434  3.7134  4.607    0 5.855 7.647 6.955 6.078 5.529 5.118 4.548 4.089 4.023
0.0152 0.01508 9.00000 0.9000000358 2.4492786175    0.899 -0.315  3.7309  4.582    0 5.557 7.037 6.518 5.708 5.212 4.829 4.315 3.903 3.844
0.0152 0.01508 9.00000 0.9086850882 2.4515697437    0.908 -0.294  3.7337  4.577    0 5.506 6.940 6.445 5.647 5.159 4.781 4.275 3.870 3.813
0.0152 0.01508 9.00000 0.9500000477 2.4618122009    0.950 -0.200  3.7467  4.554    0 5.271 6.481 6.115 5.370 4.920 4.564 4.096 3.722 3.671
0.0152 0.01508 9.00000 1.0000000000 2.4729154477    1.000 -0.090  3.7608  4.523    0 4.995 5.979 5.746 5.059 4.648 4.313 3.884 3.542 3.498
0.0152 0.01508 9.00000 1.0156233311 2.4761281005    1.015 -0.056  3.7648  4.512    0 4.911 5.837 5.637 4.967 4.566 4.238 3.819 3.486 3.444
0.0152 0.01508 9.00000 1.0499999523 2.4828114860    1.049  0.016  3.7734  4.488    0 4.729 5.538 5.402 4.770 4.390 4.076 3.680 3.366 3.327
0.0152 0.01508 9.00000 1.1000000238 2.4916801480    1.099  0.119  3.7848  4.451    0 4.472 5.144 5.078 4.496 4.144 3.848 3.481 3.190 3.157
0.0152 0.01508 9.00000 1.1228656769 2.4954345437    1.122  0.165  3.7897  4.434    0 4.357 4.978 4.937 4.376 4.035 3.747 3.391 3.110 3.079
0.0152 0.01508 9.00000 1.1499999762 2.4996678137    1.149  0.218  3.7952  4.413    0 4.224 4.793 4.775 4.237 3.909 3.629 3.287 3.017 2.988
0.0152 0.01508 9.00000 1.2000000477 2.5068948796    1.199  0.314  3.8050  4.375    0 3.984 4.470 4.485 3.989 3.682 3.418 3.099 2.848 2.823
0.0152 0.01508 9.00000 1.2500000000 2.5134610955    1.250  0.405  3.8142  4.338    0 3.756 4.179 4.213 3.754 3.467 3.218 2.920 2.687 2.665
0.0152 0.01508 9.00000 1.2999999523 2.5194498592    1.300  0.492  3.8228  4.303    0 3.541 3.919 3.959 3.531 3.261 3.027 2.749 2.533 2.513
0.0152 0.01508 9.00000 1.3080345392 2.5203632294    1.308  0.505  3.8243  4.298    0 3.507 3.879 3.920 3.497 3.230 2.997 2.723 2.510 2.490
0.0152 0.01508 9.00000 1.3500001431 2.5249313723    1.350  0.574  3.8315  4.272    0 3.335 3.676 3.717 3.319 3.066 2.846 2.588 2.390 2.371
0.0152 0.01508 9.00000 1.4000000954 2.5299650415    1.400  0.652  3.8402  4.245    0 3.139 3.452 3.487 3.117 2.882 2.677 2.439 2.258 2.240
0.0152 0.01508 9.00000 1.4404820204 2.5337474614    1.441  0.714  3.8479  4.227    0 2.986 3.277 3.306 2.960 2.739 2.548 2.327 2.161 2.145
0.0152 0.01508 9.00000 1.4500000477 2.5346015836    1.450  0.728  3.8497  4.222    0 2.950 3.237 3.264 2.923 2.706 2.518 2.301 2.138 2.122
0.0152 0.01508 9.00000 1.4922132492 2.5382391385    1.492  0.789  3.8580  4.206    0 2.797 3.064 3.081 2.765 2.565 2.391 2.192 2.046 2.031
0.0152 0.01508 9.00000 1.5000000000 2.5388844597    1.500  0.800  3.8594  4.203    0 2.769 3.032 3.048 2.736 2.539 2.368 2.172 2.029 2.014
0.0152 0.01508 9.00000 1.5023090839 2.5390743450    1.502  0.804  3.8599  4.202    0 2.761 3.023 3.038 2.727 2.531 2.361 2.167 2.024 2.009
0.0152 0.01508 9.00000 1.5499999523 2.5428511323    1.550  0.870  3.8683  4.183    0 2.595 2.843 2.846 2.558 2.379 2.225 2.048 1.921 1.907
0.0152 0.01508 9.00000 1.5530842543 2.5430862206    1.553  0.874  3.8688  4.182    0 2.585 2.832 2.834 2.548 2.370 2.217 2.041 1.915 1.900
0.0152 0.01508 9.00000 1.5960856676 2.5462552983    1.596  0.932  3.8755  4.163    0 2.440 2.678 2.668 2.401 2.237 2.096 1.934 1.820 1.806
0.0152 0.01508 9.00000 1.6000000238 2.5465340628    1.600  0.937  3.8760  4.161    0 2.427 2.664 2.653 2.387 2.224 2.085 1.924 1.811 1.797
0.0152 0.01508 9.00000 1.6331243515 2.5488316496    1.633  0.981  3.8803  4.143    0 2.318 2.549 2.531 2.277 2.123 1.992 1.839 1.734 1.721
0.0152 0.01508 9.00000 1.6500000954 2.5499614852    1.649  1.003  3.8822  4.133    0 2.263 2.492 2.470 2.221 2.071 1.944 1.795 1.694 1.680
0.0152 0.01508 9.00000 1.6682685614 2.5511549811    1.668  1.027  3.8841  4.122    0 2.204 2.430 2.404 2.161 2.015 1.892 1.747 1.649 1.636
0.0152 0.01508 9.00000 1.7000000477 2.5531580802    1.699  1.068  3.8872  4.101    0 2.101 2.324 2.290 2.057 1.918 1.801 1.662 1.570 1.556
0.0152 0.01508 9.00000 1.7347594500 2.5552558882    1.734  1.112  3.8901  4.077    0 1.989 2.209 2.168 1.943 1.811 1.700 1.567 1.480 1.467
0.0152 0.01508 9.00000 1.7500000000 2.5561455243    1.749  1.132  3.8912  4.065    0 1.940 2.159 2.115 1.894 1.765 1.656 1.525 1.439 1.426
0.0152 0.01508 9.00000 1.7714565992 2.5573682207    1.770  1.159  3.8924  4.049    0 1.872 2.089 2.042 1.825 1.699 1.592 1.464 1.381 1.368
0.0152 0.01508 9.00000 1.8000000715 2.5589429150    1.799  1.196  3.8935  4.023    0 1.781 1.998 1.945 1.733 1.610 1.506 1.379 1.298 1.285
0.0152 0.01508 9.00000 1.8116767406 2.5595706741    1.811  1.211  3.8938  4.012    0 1.743 1.960 1.906 1.696 1.573 1.470 1.344 1.264 1.250
0.0152 0.01508 9.00000 1.8442120552 2.5612717097    1.843  1.252  3.8939  3.979    0 1.639 1.857 1.798 1.590 1.469 1.367 1.241 1.162 1.148
0.0152 0.01508 9.00000 1.8499999046 2.5615671142    1.849  1.260  3.8938  3.973    0 1.621 1.839 1.780 1.572 1.450 1.348 1.222 1.143 1.129
0.0152 0.01508 9.00000 1.8739219904 2.5627658381    1.873  1.290  3.8932  3.945    0 1.546 1.765 1.703 1.495 1.373 1.270 1.143 1.063 1.049
0.0152 0.01508 9.00000 1.9000000954 2.5640331317    1.899  1.322  3.8915  3.912    0 1.464 1.686 1.622 1.412 1.287 1.182 1.052 0.969 0.955
